SURNAMES,MALE,FEMALE,
Arbnori,Alexandros,Alflet,
Arburua,Alexarchos,Alfleta,
Arcand,Alexias,Alfreda,
Arcangeli,Alexis,Algaia,
Arcimboldo,Alexon,Algyva,
Arcos,Aleyn,Alhflaed,
Ardant,Aleyne,Alhflead,
Ardinghi,Alfan,Alia,
Ardito,Alfonce,Alianor,
Ardizzone,Alfredus,Alianora,
Arduino,Algar,Alice,
Arenaza,Alger,Alicen,
Arendse,Algor,Alicia,
Arendsz,Aliaume,Alid,
Arendt,Alica,Alienor,
Arens,Alick,Alienora,
Arents,Aligern,Alina,
Arentz,Alimahus,Aline,
Arestegi,Alisander,Alis,
Aresti,Alisandre,Alisaundre,
Aretxaga,Alisaunder,Alisceon,
Arfè,Alistair,Alise,
Argelander,Alixandre,Alison,
Argerich,Alizaunder,Alisone,
Argo,Alkamenos,Alisoun,
Arguelles,Alkestis,Aliss,
Aricó,Alketas,Alissende,
Arizeruan,Alkibiades,Alith,
Arizmandez,Alkides,Aliua,
Ariztegi,Alkimachos,Aliva,
Ariztondo,Alkiphron,Aliz,
Arlt,Alkmaion,Alize,
Armannperg,Alla,Alkain,
Armborst,Allan,Alkmena,
Armelini,Allande,Allemande,
Arnaldi,Allen,Allie,
Arnaud,Alleyn,Allison,
Arnaut,Allowin,Alma,
Arndt,Almanzor,Almika,
Arnim,Almer,Almt,
Arnold,Almeric,Almuth,
Arnoldi,Almericus,Almuza,
Arnos,Alo,Aloa,
Aroca,Alodet,Alodia,
Aroix,Aloeus,Alot,
Arostegi,Alois,Alote,
Arpad,Alots,Alpaida,
Arpinon,Aloysius,Alpais,
Arquilière,Alphaeus,Alse,
Arrablay,Alpheos,Alsneta,
Arraiz,Alphesiboeus,Alson,
Arranz,Alphios,Althaea,
Arrau,Alphonsins,Althaia,
Arregi,Alret,Althea,
Arretxe,Alsandre,Altzagarate,
Arriaga,Altes,Alueua,
Arrieta,Altzibar,Alueue,
Arrighi,Aluer,Aluina,
Arrizabalaga,Aluerad,Aluinnia,
Arroita,Aluerd,Aluiua,
Arroitajauregi,Alueredus,Alverat,
Arron,Alured,Alvered,
Artali,Aluredus,Alveua,
Artenie,Aluret,Alveva,
Artetxebarria,Aluuin,Alviua,
Artundaga,Aluuine,Alviva,
Artunghi,Alvar,Alycie,
Artz,Alvere,Alyna,
Arundel,Alvery,Alyon,
Arzel,Alvredus,Alys,
Aschuill,Alwinus,Alyson,
Asquebord,Alwyn,Alysone,
Assante,Alwyne,Alyva,
Asselin,Alyattes,Ama,
Asselineau,Alyaume,Amabil,
Assemani,Alypius,Amabili,
Assi,Alysandir,Amabilia,
Assouad,Amadeus,Amabilis,
Assouline,Amal,Amabilla,
Assuerus,Amalaric,Amabillia,
Asteasu,Amalric,Amable,
Asteinza,Amalrich,Amaduena,
Astruc,Amalricus,Amagoia,
Atela,Amalvis,Amaia,
Aten,Amand,Amalasuintha,
Athanasiadis,Amanieu,Amalberga,
Athanassiadi,Amarinceus,Amalberta,
Atristain,Amator,Amalbirga,
Attene,Amatus,Amalfrida,
Attilio,Amaud,Amalfriede,
Atxabal,Amauri,Amalgunde,
Atxaga,Amaurri,Amalone,
Auber,Amaury,Amalur,
Aubert,Ambe,Amane,
Aubertin,Ambrico,Amarhyllis,
Aubon,Ambricus,Amata,
Aubry,Ambroise,Amathea,
Aucagne,Ambrosius,Amatheia,
Auch,Ambroys,Amatza,
Audenaerde,Ambure,Ambra,
