SURNAMES,MALE,FEMALE,
Guerbois,Mauricius,Theodelinda,
Guerin,Maurie,Theoderada,
Guerini,Maurin,Theodora,
Guernon,Maurinus,Theodoracis,
Gueron,Mauris,Theodosia,
Guerra,Maurus,Theodotis,
Guerrier,Maury,Theognosia,
Guerrieri,Maus,Theophane,
Guesdon,Mausolos,Theophania,
Guggenberger,Maxentius,Theophano,
Gugler,Maximianus,Theresa,
Guglielmotti,Maximin,Thessala,
Guiccardini,Maximinus,Thessalonike,
Guicciardini,Maynard,Thetis,
Guichard,Mazo,Theutberga,
Guida,Mazuste,Thidela,
Guideville,Mazzi,Thieda,
Guidi,Mecistes,Thietgarda,
Guidolotti,Mecistios,Thietuuich,
Guidry,Médard,Thietwara,
Guiffart,Meder,Thiodsind,
Guihard,Mederi,Thiodsuinda,
Guilbert,Medios,Thisbe,
Guillaut,Medon,Thiudigotho,
Guillemani,Medus,Thiutuuara,
Guillemet,Meffridus,Thoë,
Guillermin,Megadates,Thomassa,
Guillon,Megakles,Thomassia,
Guillot,Megakreon,Thoösa,
Guims,Megapenthes,Thrasborg,
Guinand,Megareus,Thrudberga,
Guintcehv,Megas,Thyia,
Guiomar,Megasthenes,Tice,
Guiraud,Megathenes,Ticekin,
Guisset,Meges,Tiece,
Guistiniani,Meginhard,Tièce,
Guitry,Megistias,Tiecelin,
Guivarch,Megistus,Tiecia,
Guizet,Mehme,Tiede,
Guizot,Meidias,Tietlenda,
Guldenschuh,Meiel,Tietza,
Gulp,Meimert,Tilda,
Gumy,Meine,Till,
Gunsche,Meinfridus,Tilla,
Günter,Meingotus,Tille,
Gunther,Melampos,Tillie,
Guridi,Melampus,Tillot,
Gurka,Melanippos,Tillota,
Gurnee,Melanthios,Tillote,
Gurney,Melanthos,Tilly,
Gurtrich,Melas,Timandra,
Gusa,Melchert,Timo,
Guschlbauer,Meleagros,Tina,
Gusmeroli,Melegros,Tiwho,
Gusti,Meles,Tjabbend,
Gutensohn,Meletius,Tjalde,
Guterres,Meliboeus,Toda,
Guth,Melicertes,Toi,
Gutman,Mello,Toloo,
Gutsche,Melmer,Tomyris,
Guttfreund,Melmidoc,Tonna,
Guttuso,Melminius,Toto,
Guyot,Meme,Trhutborgana,
Guys,Memnon,Trinidad,
Gygax,Menalcas,Trissie,
Gyorffy,Menandros,Trixie,
Gysbrechts,Menares,Truda,
Gyselinck,Menas,Trudi,
Haacke,Mendebal,Trudlinde,
Haag,Mendiko,Truffeni,
Haar,Menekrates,Trutilda,
Haarhuis,Menelaos,Tryphena,
Haas,Menestas,Tryphosa,
Habe,Menesthes,Tui,
Haberfeld,Menesthios,Tungia,
Haberlands,Menexinos,Turi,
Habermas,Mengotus,Txori,
Habig,Menke,Tyèce,
Hachet,Menne,Tyecelin,
Hackenbroch,Mennte,Tyeceline,
Hackl,Menoeces,Tyro,
Haeck,Menoitios,Ualdburg,
Haeckle,Mentes,Ualdethruda,
Haefeli,Mentor,Uba,
Haertel,Merbal,Ubaga,
Haessler,Mercadier,Ubarriaran,
Haeusl,Mercurius,Uda,
Haeusler,Merick,Udaberri,
Hafonstaangel,Meriet,Udala,
Hafte,Merigot,Udane,
Hagelauer,Meriones,Udara,
Hageman,Mermadak,Udazken,
Hagen,Mermerus,Udelina,
Hagenlocher,Merobaudes,Udeline,
Hagerman,Merops,Udiarraga,
Haghio,Merovech,Udoz,
Hagi,Mervin,Ueremund,
Hagiorgiu,Mervyn,Uerenburoc,
Hagner,Mesaulius,Uga,
Hahlo,Mesthles,Ugarte,
Hahn,Metallo,Uiburgis,
Hahne,Methodios,Uindborog,
Hahnel,Methodius,Uinebarga,
Haider,Metiochus,Uireda,
Haight,Meto,Ula,
Hainault,Meton,Ulfhild,
Hajdaraga,Metrobius,Ulgarda,
Hajdari,Metron,Uli,
Hajdini,Metrophanes,Ulia,
Hajiyanni,Meuric,Ulveva,
Halacre,Meurik,Unice,
Halara,Meurisse,Untza,
Halder,Meurius,Untzizu,
Haldron,Meus,Uoldolberta,
Halii,Mezzi,Uraburu,
Halil,Michael,Uralde,
Halili,Michaelius,Urbe,
Haliti,Michele,Urcy,
Hallé,Michell,Urdaiaga,
Haller,Micythos,Urdie,
Halmai,Midas,Urdina,
Halmer,Midylos,Uriarte,
Hals,Miguel,Uribarri,
Haltzel,Mihali,Urie,
Hamage,Mihi,Uriz,
Hamann,Mikel,Urkia,
Hambitzer,Mikelar,Uronea,
Hamiti,Mikelats,Urraka,
Hammerich,Mikeldi,Urrategi,
Hammerle,Mikkos,Urrea,
Hammerstein,Mikolas,Urreturre,
Hammes,Mikon,Urretxa,
Hamoncourt,Milanion,Urrexola,
Hamori,Mile,Urrialdo,
Hampel,Miles,Urroz,
Hamza,Milet,Ursaly,
Hanchard,Milian,Ursel,
Hanekom,Milo,Urseley,
Hanequart,Milon,Ursell,
Hanfman,Milot,Ursola,
Hankiss,Miltiades,Urtune,
Hanl,Mimke,Urtza,
Hannawald,Min,Urtzumu,
Hanotel,Minos,Uschi,
Hanse,Mintho,Usmene,
Hansen,Miquiel,Usoa,
Hansmeier,Mirande,Usue,
Hanssens,Misenus,Usune,
Happ,Mittainne,Utsune,
Hapsberg,Mitxaut,Uzuri,
Hara,Mitxel,Vadamerca,
Haraculamo,Mnasyllus,Valdamerca,
Harcourt,Mnesiphilos,Vanora,
Harden,Mnester,Veleda,
Harding,Mnesus,Veneranda,
Harend,Modaharius,Verena,
Haring,Modares,Vesta,
Harmanse,Moeris,Vigilantia,
Harmense,Mogel,Vigilia,
Harmse,Moliones,Violante,
Harnely,Molpagoras,Violet,
Harnish,Monoecus,Violetta,
Harnock,Monomachus,Violette,
Harnoncourt,Montxo,Visitacion,
Harrer,Mopsius,Vitula,
Harteros,Mopsus,Vivian,
Hartinger,Mor,Viviana,
Hartje,Morcock,Vivien,
Hartl,Morel,Vivienne,
Hartleben,Mores,Vreneli,
Hartlieb,Moricius,Vreni,
Hartmanse,Morin,Vrowecin,
Hartshorne,Moris,Vualdberta,
Hartwig,Morise,Vualdedruda,
Hartz,Moriset,Vualdetruda,
Hartzer,Morrice,Vuifken,
Harxhi,Morris,Vuinetberta,
Harymbat,Morry,Vuissance,
Hasangjekaj,Morsimus,Vuiuechin,
Hasbrouck,Morys,Wackrill,
Haschke,Moryse,Waerburg,
Hasdeu,Moschion,Waitohi,
Haselrieder,Moschus,Waldburg,
Haslinger,Mourice,Waldrada,
Hassan,Muato,Wander,
Hasse,Mulius,Wannore,
Hasseroeder,Munderic,Wannour,
Hassler,Mundo,Wantelien,
Hatig,Mundus,Wantliana,
Hauch,Munifrid,Warehild,
Haug,Munio,Watcelina,
Haugwitz,Munizo,Wavin,
Hauri,Musaeus,Wea,
Hauser,Musaios,Wealdburg,
Haussmann,Musko,Wealhburg,
Haute,Musonius,Weertje,
Hauville,Muttines,Wekerild,
Havelange,Mutu,Wemke,
Haverfldt,Mydon,Wendel,
Haward,Mygdon,Wenefreda,
Hawlik,Myles,Wenthelen,
Haxhi,Myrsinus,Wentiliana,
Haxhiu,Myrto,Werburg,
Hazelzet,Mys,Werburga,
Hebert,Nab,Werburgh,
Hechevaria,Nabar,Werbyrgh,
Hecht,Nadilo,Wereburga,
Heck,Nagal,Whetu,
Heckmair,Nahia,Wibke,
Hedervary,Naimes,Wiblind,
Hedevary,Naimon,Wiburge,
Hédiart,Namatius,Wiburgis,
Heekeren,Namus,Wiemda,
Heevink,Nanno,Wifhildis,
Heffner,Narkissos,Wihted,
Hegel,Nastes,Wilberga,
Heger,Naubolus,Wilgefortis,
Heguy,Naukles,Wilgeva,
Heideck,Naulabates,Willelda,
Heiden,Nausithous,Willelma,
Heidenfelder,Nauteus,Willesuindis,
Heidingsfelder,Nazares,Wilmetta,
Heidloff,Neal,Wilmke,
Heigel,Neale,Wilmot,
Heil,Néapolion,Wimarc,
Heimer,Nearchos,Wimarca,
Heimpel,Ned,Winefred,
Hein,Neddie,Winifred,
Heindel,Neel,Winnifred,
Heine,Neil,Wivecin,
Heineman,Nel,Wivin,
Heinemann,Nele,Wlbergis,
Heinen,Neleos,Wlbgis,
Heinis,Nell,Wlfeuua,
Heinkel,Nelpus,Wlfildis,
Heinrich,Neokles,Wlgert,
Heins,Neoptolemos,Wlueth,
Heinzel,Neozzo,Wluiaa,
Heirbaut,Nepotian,Wluiua,
Heirman,Neritos,Wluyua,
Heirwegh,Nestor,Wlveva,
Heldt,Névelet,Wocbke,
Helfenbein,Ngakaukawa,Wofled,
Helfkin,Ngati,Wolfleda,
Helfrich,Niarchos,Wolueua,
Helgenberger,Nibelungus,Wolueue,
Hellekant,Nicaise,Woluiua,
Hellen,Nicandros,Wubcke,
Helleu,Nicanor,Wulfhilda,
Hellfritzsch,Nicephorus,Wulfhildis,
Hellinger,Nicetas,Wulfiue,
Hellmann,Nicetius,Wulfled,
Hellmich,Nicholas,Wulfleda,
Helmer,Nicholaus,Wulfrueua,
Helmerichs,Nichomachus,Wuluefa,
Helmigse,Niclas,Wuluethia,
Helwich,Nicodromos,Wulueua,
Hembrecht,Nicolao,Wuluiua,
Hempel,Nicolaus,Wuluiue,
Henchoz,Nicomachos,Wulvela,
Henderickx,Nicon,Wulvella,
Hendrick,Nidada,Wulveva,
Hendricks,Nidungus,Wulveve,
Hendrickse,Niel,Wulviva,
Hendricksen,Nigelle,Wulwiua,
Hendrickson,Nigellus,Wumke,
Hendrickszen,Nigs,Wyberg,
Hendry,Nihe,Wybir,
Hendrykxx,Nikandros,Wybur,
Hengst,Nikanor,Wyburgh,
Hengstenberg,Nikasios,Wynifreed,
Henion,Nikeratos,Yayone,
Henkel,Niketas,Yda,
Hennecart,Nikias,Ydany,
Henning,Nikola,Ydeneye,
Hennion,Nikomachos,Ydenia,
Henrard,Nikomedes,Ydon,
Henriques,Nilus,Ydonea,
Henschel,Nino,Yera,
Hense,Nireus,Yfame,
Hentsch,Nisos,Ylaire,
Heofle,Nithard,Ylaria,
Herbard,Niuzilo,Yllaria,
Herbaut,Nivelet,Ymanie,
Herbaux,Nob,Ymanya,
Herber,Noeë,Ymanye,
Herberhold,Noël,Ymeisna,
Herberich,Noemon,Ymenia,
Herbrüggen,Noll,Ynstauncia,
Herbst,Nolly,Yolande,
Herder,Nomion,Yolant,
Herdfeld,Nonnosus,Yootha,
Heregger,Nonnus,Yordana,
Hergenröther,Norbert,Younice,
Herhard,Nordbert,Yrmengardis,
Heriet,Nordemann,Ysane,
Herlemont,Note,Ysemay,
Hermans,Nothon,Ysenda,
Hermant,Notker,Yseult,
Herment,Nott,Yseulte,
Herold,Numa,Ysmay,
Herque,Nuno,Ysmeina,
Herr,Nute,Ysmena,
Herreman,Nutkin,Ysmene,
Herreweghe,Nutt,Ysolt,
Herring,Nuxila,Ysopa,
Herrmann,Nyctinus,Ysoria,
Hershey,Nygell,Ysoude,
Hersman,Nymphicus,Ysout,
Hertje,Nymphodorus,Yulene,
Herty,Obeko,Yvette,
Hervé,Obert,Yzebel,
Herzl,Ocealus,Xabadin,
Herzog,Ochesius,Xanthe,
Hesp,Ochos,Xanthippe,
Hess,Ocke,Xantippe,
Hesse,Ocytos,Xaxi,
Hessels,Odaenathus,Xemein,
Hesselse,Odard,Xene,
Hessler,Odde,Xenophile,
Hester,Oddo,Ximena,
Heu,Ode,Xixili,
Heumann,Odger,Xoramen,
Heusinveld,Odibrand,Zabal,
Heusler,Odinel,Zabaleta,
Heuzé,Odius,Zaballa,
Hewse,Odo,Zaloa,
Heyman,Odoin,Zamartze,
Heymann,Odol,Zandua,
Heyndrickx,Odon,Zarala,
Heynemann,Odotheus,Zeberiogana,
Heynkes,Odouart,Zelai,
Hibon,Odovacar,Zelina,
Hicke,Odulf,Zelizi,
Hiebl,Odysseus,Zenobia,
Hiebsch,Oeagnus,Zerran,
Hieke,Oecleus,Zikuaga,
Hiemer,Oedipus,Zilia,
Hier,Oenemaus,Ziortza,
Hieronymus,Oeneus,Zita,
Hietsch,Oenomaus,Zoe,
Higounet,Oenopion,Zohartze,
Hila,Oenops,Zorione,
Hilaire,Oenus,Zuberoa,
Hilgarth,Oger,Zubia,
Hillegeer,Ogerius,Zufiaurre,
Himbrecht,Oggery,Zuhaitz,
Himmler,Oggod,Zumadoia,
Hinetze,Ogier,Zumalburu,
Hinova,Oicles,Zuri,
Hintermeier,Oidor,Zuria,
Hintz,Oier,Zuriaa,
Hinz,Oihan,Zurie,
Hipfl,Oihenarte,Zuza,
Hipp,Oileas,Zuzene,
Hipper,Oinatz,Zwaante,
Hirschauer,Oinaz,,
Hirschfeld,Olentzaro,,
Hirtreiter,Oliatos,,
Hisari,Oliva,,
Hitzfeld,Olivere,,
Hlady,Oliverus,,
Hlasek,Olivier,,
Hlutev,Olli,,
Hobai,Ollier,,
Hoch,Olly,,
Hochlat,Olo,,
Hodenc,Oltmann,,
Hoebacke,Olus,,
Hoebig,Olver,,
Hoechst,Olybrius,,
Hoefling,Olympicus,,
Hoefnagel,Olympio,,
Hoegersteyer,Olympiodorus,,
Hoekstra,Olympius,,
Hoelebrand,Omer,,
Hoellwarth,Omerus,,
Hoenaert,Omont,,
Hoetker,Onamakritos,,
Hoeykens,Onbera,,
Hofer,Ondart,,
Hoff,Onesilos,,
Hoffmann,Onesimos,,
Hofler,Onesiphorus,,
Hofman,Onetas,,
Hofmeihr,Onetor,,
Hofmeyr,Onfroi,,
Hofstater,Ongile,,
Hofstra,Onias,,
Hogler,Onke,,
Hohenleutner,Onne,,
Hohenwart,Onno,,
Höhne,Onntje,,
Hoka,Onomastos,,
Hol,Onuphrius,,
Holba,Ophelestes,,
Holbein,Opilano,,
Holdrum,Opilio,,
Holland,Opites,,
Hollar,Ops,,
Hollmann,Orable,,
Hollo,Orain,,
Hollweg,Orcus,,
Holst,Orderic,,
Holthausen,Orell,,
Holtzmann,Orestes,,
Holz,Oresus,,
Holzhauser,Orges,,
Holzknecht,Oriabel,,
Homeier,Oriabiaus,,
Homo,Oribasius,,
Honig,Origen,,
Hoogduytscher,Orion,,
Hoogeveen,Orius,,
Hooglandt,Orixe,,
Hoornik,Orkatz,,
Hooss,Orland,,
Hooten,Oroites,,
Hoover,Oroitz,,
Hopfer,Orpheus,,
Höpken,Orrick,,
Hoppe,Orsilochus,,
Hoppen,Orsiphantes,,
Horansky,Orthaeus,,
Horas,Orti,,
Horenbout,Ortle,,
Hormel,Ortolfus,,
Horn,Ortwinus,,
Hornbostel,Ortzi,,
Horngacher,Orythroneus,,
Hornstra,Orzaize,,
Horsch,Osasun,,
Horst,Osbarn,,
Horstink,Osbern,,
Horthy,Osbernus,,
Horvarth,Osbertus,,
Horvath,Oscar,,
Hoschedé,Oseberne,,
Hoskens,Osebertus,,
Hostache,Osewold,,
Hostetter,Osgar,,
Hotot,Osgarus,,
Houdini,Oskarbi,,
Houllier,Oskell,,
Housman,Osketel,,
Houssin,Oskitz,,
Hout,Osman,,
Houtmacker,Osment,,
Houziaux,Osmon,,
Hoxha,Osmond,,
Hoy,Osmont,,
Hristov,Osmundus,,
Hruby,Osoitz,,
Hrutka,Ospetsu,,
Hü,Ospin,,
Hubchev,Ostadar,,
Huber,Ostargi,,
Hubert,Ostots,,
Hubner,Ostrogotha,,
Hübsch,Osuin,,
Hue,Osuuald,,
Huet,Osuualdus,,
Hugel,Osuuol,,
Hugesson,Osuuold,,
Hugo,Osuuoldus,,
Hugonin,Oswall,,
Huguenard,Oswell,,
Huke,Oswinus,,
Hulit,Oswold,,
Hulse,Oswyn,,
Humbert,Otebon,,
Hümmel,Otelin,,
Hunkoos,Otes,,
Hunsberger,Othes,,
Huntziger,Othi,,
Hunyadi,Otho,,
Huont,Othon,,
Hupetcoff,Othone,,
Hupetri,Othuel,,
Huporkorny,Oti,,
Hurgronje,Otis,,
Huriet,Otker,,
Hurtgen,Otois,,
Hurtis,Oton,,
Husmann,Otreus,,
Husserl,Otrynteus,,
Huster,Otsando,,
Hutflötz,Otsoa,,
Huthwohl,Otsoko,,
Huybertszen,Ottie,,
Huygens,Ottig,,
Huyghen,Otto,,
Huyler,Otuel,,
Hyères,Otus,,
Hynde,Oudart,,
Hyseni,Oudet,,
Hysi,Oudin,,
Iagar,Oudinet,,
Iakovakis,Oudinnet,,
Iakovou,Ouein,,
Ianculescu,Ouen,,
Iani,Ouin,,
Iannacone,Oure,,
Iatrides,Ourri,,
Ibanescu,Ouus,,
Ibarran,Ovida,,
Ibarrola,Owain,,
Ide,Owayne,,
Idesheim,Owen,,
Idiakez,Oweyn,,
Idoeta,Owin,,
Ignatieva,Owine,,
Ignatius,Owini,,
Ilarduya,Owun,,
Ilgner,Owyne,,
Ilica,Oxarra,,
Ilie,Oxel,,
Iliev,Ozwell,,
Ilionescu,Pablo,,
Illes,Pacatian,,
Illésházy,Pachymeres,,
Illuminati,Paeëon,,
Ilyes,Paen,,
Imanci,Pagane,,
Imelmann,Paganel,,
Immelman,Paganus,,
Impens,Pagen,,
Impetraz,Pagomari,,
Infusino,Paikea,,
Ingels,Pain,,
Ingrao,Paios,,
Ingres,Pair,,
Ingroville,Palaechthon,,
Iniguez,Palaemon,,
Innocenti,Palamas,,
Interlenghi,Palladius,,
Intxauspe,Pallans,,
Inurrutegi,Pallas,,
Inzaghi,Palmys,,
Ioanid,Palque,,
Ioannidis,Pammon,,
Ioannou,Pamphilus,,
Ioli,Panaetios,,
Ionescu,Panaetius,,
Iordache,Panares,,
Iordanescu,Pancras,,
Iorga,Pancratius,,
Ioriatti,Pandaros,,
Iotti,Pandion,,
Ioveanu,Pandulf,,
Iparagirre,Panionos,,
Iraola,Panites,,
Irastorza,Pankratios,,
Irazoki,Pannet,,
Iriarte,Panpili,,
Irigiven,Pantagathus,,
Irrigarai,Pantares,,
Irungarai,Panteleon,,
Isaac-Sibille,Panthous,,
Isai,Pantites,,
Isecke,Pantzeska,,
Isekenmeier,Panuel,,
Isekenmeir,Paopeus,,
Iserbyt,Paora,,
Ismaili,Papias,,
Isselsteen,Papin,,
Issigonis,Paraebates,,
Issorat,Parcin,,
Istogu,Pardus,,
Istok,Paris,,
Istratescu,Pariset,,
Istvánffy,Parmenides,,
Isufaj,Parmenion,,
Isusi,Parsefal,,
Ituarte,Parthenius,,
Iturburu,Parthenopaeus,,
Iturralde,Parzifal,,
Iturraspe,Paschalis,,
Iturriza,Pasion,,
Iuliano,Paskal,,
Iurrieta,Pastor,,
Iurrita,Pataicos,,
Ivanov,Pate,,
Ivanova,Paterick,,
Izaguirre,Paternus,,
Izaurralde,Patey,,
Izquierdo,Paton,,
Izuel,Patrice,,
Jacobs,Patricius,,
Jacobse,Patriz,,
Jacobusse,Patrobas,,
Jaconelli,Patrobus,,
Jacopino,Patroclus,,
Jacquelin,Patron,,
Jacquemin,Patrycke,,
Jacquet,Patsy,,
Jadin,Pattin,,
Jadot,Pattrik,,
Jaeke,Patxi Frantxizko,,
Jaekle,Patza,,
Jager,Paulaui,,
Jahnet,Paulin,,
Jakobs,Paulo,,
Jalabert,Paulus,,
Jambart,Pausanius,,
Jancke,Payn,,
Jancker,Payne,,
Janin,Paynel,,
Janosi,Pedaeus,,
Janquin,Pedasus,,
Jans,Pedocles,,
Jansdr,Pegarius,,
Jansen,Peirithous,,
Janssens,Peiros,,
Januzaj,Peisandros,,
Janz,Peithon,,
Jardim,Pelagius,,
Jarnet,Pelagon,,
Jarre,Pelegon,,
Jarry,Peleus,,
Jasari,Peli,,
Jaspers,Pelias,,
Jaufenthaler,Pelicles,,
Jauregi,Pello,,
Javert,Pelonus,,
Jean-Aubry,Pelopidas,,
Jeanmaire,Peneleos,,
Jeanniot,Peneus,,
Jeannot,Pentheus,,
Jeanteaud,Penthylos,,
Jedin,Peolpidas,,
Jerratsch,Pepin,,
Jesser,Perceval,,
Jeune,Percevale,,
Jeunet,Percheval,,
Jeuriaens,Percival,,
Jewell,Percivale,,
Jillette,Perctarit,,
Jimmink,Percyvallus,,
Joachimsthaler,Percyvell,,
Joakimides,Perdikkas,,
Jobert,Perdix,,
Joffre,Peregrine,,
Jogues,Peregrinus,,
Joje,Periandros,,
Jokai,Periclymenus,,
Jolivet,Perieeres,,
Jolland,Perigenes,,
Jolves,Perikles,,
Jondet,Perimedes,,
Jonge,Perimos,,
Jongejans,Periphas,,
Jongman,Periphetes,,
Jongmans,Periscus,,
Jonk,Peritas,,
Jonker,Periumus,,
Joó,Perrando,,
Joos,Persefall,,
Joossens,Persivell,,
Joosten,Peru,,
Jopie,Peruanton,,
Joralemon,Perutxo,,
Jordanov,Pes,,
Jorise,Peteos,,
Joriszen,Petri,,
Josi,Petrigai,,
Joska,Petronas,,
Josselin,Petruche,,
Jost,Petrus,,
Jotten,Peukestes,,
Joubert,Phaedo,,
Jourdonnais,Phaenippos,,
Jovine,Phaeops,,
Jovtvev,Phaestus,,
Jubert,Phaidon,,
Juillet,Phaidriades,,
Julia,Phalanthus,,
Julião,Phalces,,
Jülicher,Phalinos,,
Jungbloet,Phanagoras,,
Junghuhn,Phancis,,
Junqueira,Phanes,,
Jurassien,Phanias,,
Jurcks,Phantias,,
Jurckse,Phareman,,
Jurcksen,Pharnaces,,
Jurckx,Phausius,,
Jurcx,Phegeus,,
Juroksen,Pheidias,,
Kadare,Pheidippides,,
Kaelin,Pheidon,,
Kaempfer,Phelipe,,
Kaessens,Phelipot,,
Kahan,Phelippe,,
Kahl,Phelippot,,
Kahn,Pheliset,,
Kairis,Phelyp,,
Kaiser,Phelypp,,
Kajetan,Phemius,,
Kaklamanakis,Phereclus,,
Kakoulli,Pherecydes,,
Kalaj,Pheres,,
Kalanyos,Pheronactus,,
Káldi,Phidias,,
Kaleci,Phigaleios,,
Kalergi,Phil,,
Kalff,Philagrius,,
Kalkbrenner,Philagros,,
Kalkman,Philaon,,
Kallabis,Philaretus,,
Kallay,Philbert,,
Kallenberger,Philcox,,
Kallisch,Phileas,,
Kalman,Philemon,,
Kalvos,Philetor,,
Kamerling,Philibert,,
Kammerer,Philiot,,
Kammerling,Philip,,
Kampe,Philipon,,
Kamps,Philipot,,
Kamstra,Philippe,,
Kanaris,Philippicus,,
Kandarr,Philippot,,
Kanellopoulos,Philippus,,
Kani,Philiskos,,
Kanschra,Philistos,,
Kaphandaris,Philkin,,
Kapitan,Phillipos,,
Kapllani,Phillippus,,
Kapp,Phillipus,,
Kappmeyer,Philocion,,
Kapt,Philocrates,,
Karaay,Philoctetes,,
Karaiskakis,Philocypros,,
Karamanlis,Philoetius,,
Karastorre,Philogus,,
Karatossos,Philokles,,
Karavelov,Philokrates,,
Karbacher,Philolaos,,
Karch,Philologus,,
Kareaga,Philomen,,
Karembeu,Philomenes,,
Karge,Philometer,,
Karoki,Philon,,
Karolyi,Philonikos,,
Karranza,Philopoemon,,
Karremans,Philostratos,,
Kartallozi,Philostratus,,
Karyoti,Philotas,,
Kasler,Philotectes,,
Kasnar,Philoxenos,,
Kasomoulis,Philoxenus,,
Kastner,Philpoemon,,
Kastrati,Philpot,,
Katsantonis,Phineus,,
Kauffman,Phintias,,
Kauntiz,Phipp,,
Kayser,Phitelet,,
Kazaku,Phlaris,,
Kazinczy,Phlegon,,
Keblovszki,Phlios,,
Keblovszkij,Phoebammon,,
Keblovszky,Phoenix,,
Keemer,Phoibus,,
Keersmaekers,Phoinix,,
Kegel,Phoitios,,
Kegels,Phokas,,
Kehler,Phokion,,
Kehr,Phorbas,,
Keifer,Phorcys,,
Keitel,Phormion,,
Keizer,Phormos,,
Kelleners,Photinus,,
Keller,Photius,,
Kemeny,Phrixus,,
Kemle,Phrynichos,,
Kemner,Phrynikos,,
Kemper,Phrynon,,
Kempf,Phylacus,,
Kendig,Phylas,,
Kenedy,Phylypp,,
Kenter,Phytheon,,
Kenteris,Phythian,,
Kepper,Pi,,
Kerck,Piarres,,
Kerekes,Piccolet,,
Kern,Picot,,
Kerndl,Pidytes,,
Kert,Pierre,,
Kertes,Pierres,,
Kessing,Pigres,,
Kessler,Piligrim,,
Kestelmann,Pinabel,,
Ketel,Pinder,,
Kettenacker,Pip,,
Keurorst,Pippin,,
Keurvorst,Piri,,
Kezer,Pirithoos,,
Khadjikyriakos,Pirmin,,
Khelsch,Pisistratos,,
Kiefer,Pistias,,
Kielgass,Pitama,,
Kiemle,Pittacos,,
Kiemlen,Pittacus,,
Kiemlin,Pittheus,,
Kiep,Pixodarus,,
Kierkegaard,Pizzo,,
Kiers,Plades,,
Kiersen,Platiau,,
Kierstede,Pleistarchos,,
Kiesl,Pleistos,,
Kieslaer,Plutarch,,
Kiess,Plutinus,,
Kiestra,Podaeleirus,,
Kiffer,Podaleirus,,
Kihlstedt,Podalinus,,
Killy,Podarces,,
Kimmel,Podargos,,
Kinczllers,Podaroes,,
Kindt,Podes,,
Kingl,Poeas,,
Kinigader,Poecas,,
Kinne,Poimen,,
Kins,Poince,,
Kipp,Poincet,,
Kiraly,Polemion,,
Kirch,Polentzi,,
Kirchbach,Poliadas,,
Kirchenbauer,Pollio,,
Kircher,Polyas,,
Kirchheim,Polybius,,
Kirchhoff,Polyctor,,
Kirchmann,Polydectes,,
Kirilova,Polydeuces,,
Kirsch,Polydius,,
Kirschner,Polydoros,,
Kirschofer,Polyeides,,
Kirshbaum,Polygonus,,
Kirsten,Polykleitos,,
Kiryakov,Polykles,,
Kishishev,Polykritos,,
Kiss,Polymedes,,
Kisslinger,Polyneices,,
Kiuprili,Polypemon,,
Klaeber,Polyperchon,,
Klah,Polyphemous,,
Klais,Polyphetes,,
Klammer,Polyphontes,,
Klaras,Polypoetes,,
Klauber,Polyxeinus,,
Klauschen,Ponce,,
Klausman,Poncet,,
Klazens,Ponche,,
Klebel,Ponteus,,
Kleber,Popin,,
Klee,Popiniau,,
Kleiber,Poppa,,
Kleiman,Poppe,,
Klein,Poppens,,
Kleinendorst,Poppo,,
Kleinert,Porchier,,
Kleinheinz,Porphyrios,,
Kleinpaul,Porphyrius,,
Kleinschmidt,Poseidon,,
Kleitsch,Posides,,
Klemert,Posidonios,,
Kleynhans,Potamius,,
Klimmer,Potamon,,
Klinck,Potkin,,
Klingberg,Poufille,,
Klinger,Poz,,
Klinsmann,Prades,,
Klock,Praesentinus,,
Klohse,Praetextatus,,
Klöpsch,Pratinos,,
Klosel,Praxilaus,,
Klosner,Praxis,,
Klostermann,Praxiteles,,
Klozbücher,Praxites,,
Klug,Presebal,,
Kluge,Prexinos,,
Kluivert,Priam,,
Klusener,Priamon,,
Kluskens,Pricion,,
Klysen,Principius,,
Knabl,Prinetadas,,
Knaus,Priscian,,
Knauss,Priskos,,
Knippel,Probus,,
Knipper,Procrustes,,
Knippschd,Proctus,,
Knippschild,Proetus,,
Knittle,Prokles,,
Knobloch,Prokopios,,
Knoll,Prokrustes,,
Knueven,Proreus,,
Ko,Protagoras,,
Koban,Protesilaus,,
Kobori,Prothoenor,,
Kobs,Prothous,,
Koch,Protogenes,,
Kochalakos,Protus,,
Kochiu,Proxenos,,
Kochta,Prymneus,,
Koçi,Prytanis,,
Kocsis,Ptolemaios,,
Kodaly,Ptolomaeus,,
Koeck,Pudes,,
Koehl,Puhi,,
Koehler,Pupt,,
Koehneman,Puvis,,
Koell,Pylades,,
Köella,Pylaemenes,,
Koellerer,Pylaeus,,
Koelmel,Pylartes,,
Koemans,Pylas,,
Koenradt,Pylenor,,
Koertzen,Pyris,,
Koesters,Pyrrhus,,
Koffa,Pythagoras,,
Kogalniceaunu,Pytheas,,
Kohler,Pythes,,
Kohlmann,Pythios,,
Kohlruss,Pythogenes,,
Kohlsaat,Quabin,,
Kohn,Quenall,,
Köhncke,Quintin,,
Kohning,Quintinus,,
Kokkinos,Quito,,
Kokotis,Rab,,
Kolb,Rabbie,,
Kolcei,Rabel,,
Kolettis,Radagaisus,,
Kolf,Radamanthos,,
Koller,Radigis,,
